ticket_id,Data,Motivo,Responsável,Status,Hora Início,Hora Fim,Tempo de Conclusão (TMA),SLA_fila,Assertividade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#944336,1/5/2026,Cashback,Lucas,Aberto,2:02,2:04,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#944387,1/5/2026,KYC/Reembolso,Lucas,Aberto,2:06,2:11,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#944471,1/5/2026,KYC/Reembolso,Lucas,Aberto,2:12,2:16,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#944669,1/5/2026,KYC/Reembolso,Lucas,Aberto,2:48,3:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#944268,1/5/2026,Missão,Lucas,Aberto,3:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#944603,1/5/2026,Missão,Lucas,Aberto,4:07,4:09,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#944746,1/5/2026,Campanhas/CRM,Lucas,Aberto,5:07,5:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#944761,1/5/2026,Campanhas/CRM,Lucas,Aberto,6:05,6:07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#944762,1/5/2026,Campanhas/CRM,Lucas,Aberto,6:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#944770,1/5/2026,KYC/Reembolso,Lucas,Aberto,6:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#950070,1/6/2026,KYC/Reembolso,Lucas,Aberto,19:41,19:48,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#950085,1/6/2026,Indique e ganhe,Lucas,Aberto,19:54,19:56,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
