"ticket_id","Data_iso","inicio_dt","fim_dt","tempo_min","Data","Motivo","Responsável","Status","Hora Início","Hora Fim","Tempo de Conclusão (TMA)","SLA_fila","Assertividade"
"#950070","2026-01-06","2026-01-06 19:41:00","2026-01-06 19:48:00","7","1/6/2026","KYC/Reembolso","Lucas","Aberto","19:41","19:48","7","",""
"#950085","2026-01-06","2026-01-06 19:54:00","2026-01-06 19:56:00","2","1/6/2026","Indique e ganhe","Lucas","Aberto","19:54","19:56","2","",""
"#950173","2026-01-06","2026-01-06 20:47:00","2026-01-06 20:53:00","","1/6/2026","Giros","Lucas","Aberto","20:47","20:53","","",""
"#950289","2026-01-06","2026-01-06 21:25:00","2026-01-06 21:26:00","1","1/6/2026","Bloqueio/Fraude","Lucas","Aberto","21:25","21:26","1","",""
"#950526","2026-01-06","2026-01-06 21:01:00","2026-01-06 21:31:00","30","1/6/2026","KYC/Reembolso","Lucas","Aberto","21:01","21:31","30","",""
"#950387","2026-01-06","2026-01-06 21:32:00","2026-01-06 21:54:00","22","1/6/2026","KYC/Reembolso","Lucas","Aberto","21:32","21:54","22","",""
"#950533","2026-01-06","2026-01-06 21:40:00","2026-01-06 21:45:00","5","1/6/2026","KYC/Reembolso","Lucas","Aberto","21:40","21:45","5","",""
"#950747","2026-01-06","2026-01-06 22:01:00","2026-01-06 22:09:00","8","1/6/2026","KYC/Reembolso","Lucas","Aberto","22:01","22:09","8","",""
"#950707","2026-01-06","2026-01-06 22:11:00","2026-01-06 22:21:00","10","1/6/2026","KYC/Reembolso","Lucas","Aberto","22:11","22:21","10","",""
"#950653","2026-01-06","2026-01-06 22:28:00","2026-01-06 22:35:00","7","1/6/2026","KYC/Reembolso","Lucas","Aberto","22:28","22:35","7","",""
"#949995","2026-01-06","2026-01-06 22:38:00","2026-01-06 22:52:00","14","1/6/2026","Giros","Lucas","Aberto","22:38","22:52","14","",""
"#951101","2026-01-07","2026-01-07 02:03:00","2026-01-07 02:32:00","29","1/7/2026","Giros","Bárbara","Aberto","02:03","02:32","29","",""
"#951203","2026-01-07","2026-01-07 02:35:00","2026-01-07 02:39:00","4","1/7/2026","KYC/Reembolso","Bárbara","Aberto","02:35","02:39","4","",""
"#951122","2026-01-07","2026-01-07 02:42:00","2026-01-07 02:46:00","4","1/7/2026","KYC/Reembolso","Bárbara","Aberto","02:42","02:46","4","",""
"#951267","2026-01-07","2026-01-07 02:53:00","2026-01-07 03:01:00","8","1/7/2026","Giros","Bárbara","Aberto","02:53","03:01","8","",""
"#951275","2026-01-07","2026-01-07 03:02:00","2026-01-07 03:04:00","2","1/7/2026","Giros","Bárbara","Aberto","03:02","03:04","2","",""
"#952012","2026-01-07","2026-01-07 03:06:00","2026-01-07 03:10:00","4","1/7/2026","KYC/Reembolso","Bárbara","Aberto","03:06","03:10","4","",""
"#951677","2026-01-07","2026-01-07 03:07:00","2026-01-07 03:08:00","1","1/7/2026","KYC/Reembolso","Lucas","Aberto","03:07","03:08","1","",""
"#950447","2026-01-07","2026-01-07 03:14:00","2026-01-07 03:17:00","3","1/7/2026","Cassino","Lucas","Aberto","03:14","03:17","3","",""
"#951968","2026-01-07","2026-01-07 03:15:00","2026-01-07 03:16:00","1","1/7/2026","KYC/Reembolso","Bárbara","Em espera","03:15","03:16","1","",""
"#952194","2026-01-07","2026-01-07 04:34:00","2026-01-07 04:36:00","2","1/7/2026","Giros","Lucas","Aberto","04:34","04:36","2","",""
"#952160","2026-01-07","2026-01-07 05:52:00","2026-01-07 06:02:00","","1/7/2026","Giros","Bárbara","Aberto","05:52","06:02","","",""
"#952242","2026-01-07","2026-01-07 06:52:00","2026-01-07 06:54:00","2","1/7/2026","Aposta esportiva","Bárbara","Aberto","06:52","06:54","2","",""
"#952292","2026-01-07","2026-01-07 06:23:00","2026-01-07 06:26:00","3","1/7/2026","Giros","Bárbara","Aberto","06:23","06:26","3","",""
"#961993","2026-01-08","2026-01-08 19:38:00","2026-01-08 19:44:00","6","1/8/2026","KYC/Reembolso","Bárbara","Aberto","19:38","19:44","6","",""
"#963654","2026-01-09","2026-01-09 02:26:00","2026-01-09 03:11:00","45","1/9/2026","Financeiro (Depósito, saque e Devolução)","Lucas","Aberto","02:26","03:11","45","",""
"#963626","2026-01-09","2026-01-09 02:45:00","2026-01-09 02:46:00","1","1/9/2026","Bloqueio/Fraude","Bárbara","Em espera","02:45","02:46","1","",""
"#963500","2026-01-09","2026-01-09 02:46:00","2026-01-09 02:47:00","1","1/9/2026","Bloqueio/Fraude","Bárbara","Em espera","02:46","02:47","1","",""
"#962630","2026-01-09","2026-01-09 02:25:00","2026-01-09 02:49:00","24","1/9/2026","KYC/Reembolso","Bárbara","Aberto","02:25","02:49","24","",""
